书籍详情链接,图片链接,图书中文名,图书别名,评分,评价数,概况,相关信息,作者,图书类别
https://book.douban.com/subject/1141406/,https://img9.doubanio.com/view/subject/s/public/s5924326.jpg,简爱（英文全本）,Jane Eyre,8.5,196722,灰姑娘在十九世纪,[英] 夏洛蒂·勃朗特   世界图书出版公司   2003-11   18.00元,夏洛蒂·勃朗特,简爱 外国文学 爱情 经典 小说 名著 外国名著 英国
https://book.douban.com/subject/26878124/,https://img1.doubanio.com/view/subject/s/public/s29164777.jpg,我的天才女友,L'amica geniale,8.6,78843,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,[意] 埃莱娜·费兰特   陈英   人民文学出版社   2017-1   42.00元,埃莱娜·费兰特,那不勒斯四部曲 女性友谊 女性 埃莱娜·费兰特 小说 意大利文学 意大利 外国文学
https://book.douban.com/subject/1813841/,https://img2.doubanio.com/view/subject/s/public/s1738643.jpg,枪炮、病菌与钢铁,"Guns, Germs and Steel: The Fates of Human Societies",8.7,40845,人类社会的命运,[美] 贾雷德·戴蒙德   谢延光   上海世纪出版集团   2006-4-1   45.00元,贾雷德·戴蒙德,人类学 历史 社会学 社会文化史 社会 生物地理学 科普 杰拉德·戴蒙德
https://book.douban.com/subject/4884218/,https://img1.doubanio.com/view/subject/s/public/s6180859.jpg,我的阿勒泰,My Altay,8.8,22536,描写疆北阿勒泰地区生活和风情的原生态散文集,李娟   云南人民出版社   2010-7   22.00元,李娟,李娟 散文 新疆 阿勒泰 随笔 自然 中国文学 旅行
https://book.douban.com/subject/3518332/,https://img9.doubanio.com/view/subject/s/public/s3675595.jpg,绿毛水怪, ,9.0,19473,我们好象在池塘的水底，从一个月亮走向另一个月亮,王小波   时代文艺出版社   2009-1   30.00元,王小波,王小波 绿毛水怪 浪漫的灵魂 小说 中国文学 文学 爱情 中国
https://book.douban.com/subject/1020961/,https://img1.doubanio.com/view/subject/s/public/s26237958.jpg,棋王, ,8.8,28885,我从未真正见过火，也未见过毁灭，更不知新生,阿城   作家出版社   1999-10   13.00,阿城,阿城 小说 棋王 中国文学 当代文学 文革 文学 中国
https://book.douban.com/subject/25976544/,https://img1.doubanio.com/view/subject/s/public/s27598249.jpg,故事,Story,9.2,14414,材质、结构、风格和银幕剧作的原理,[美] 罗伯特·麦基   周铁东   天津人民出版社   2014-9-1   68.00元,罗伯特·麦基,写作 编剧 创作 电影 故事 文学 罗伯特∙麦基 电影理论
https://book.douban.com/subject/1070851/,https://img1.doubanio.com/view/subject/s/public/s1829709.jpg,倚天屠龙记(共四册), ,8.6,55007,不识张郎是张郎,金庸   三联书店   1999-04   47.00,金庸,金庸 武侠 倚天屠龙记 武侠小说 小说 经典 中国文学 中国
https://book.douban.com/subject/1062343/,https://img1.doubanio.com/view/subject/s/public/s1121598.jpg,昨日的世界,Die Welt von Gestern: Erinnerungen eines Europäers,9.2,12528,一个高贵而残破的昨日镜像,[奥] 斯蒂芬·茨威格   舒昌善   广西师范大学出版社   2004-5-1   32.00元,斯蒂芬·茨威格,茨威格 回忆录 历史 斯蒂芬・茨威格 传记 外国文学 欧洲 奥地利
https://book.douban.com/subject/1476651/,https://img2.doubanio.com/view/subject/s/public/s1670932.jpg,社会心理学,,9.0,22486,人们是如何思索、影响他人并与他人建立联系的,[美] 戴维·迈尔斯   张智勇   人民邮电出版社   2006-1   68.00元,戴维·迈尔斯,心理学 社会心理学 心理 社会学 社会心理 认识自己 专业书 psychology
https://book.douban.com/subject/2068249/,https://img1.doubanio.com/view/subject/s/public/s2391798.jpg,温柔的夜, ,9.1,19512,三毛在加纳利群岛的生活,三毛   北京十月文艺出版社   2007-5   28.00元,三毛,三毛 温柔的夜 散文 随笔 流浪 文学 台湾 中国文学
https://book.douban.com/subject/1008357/,https://img1.doubanio.com/view/subject/s/public/s1436519.jpg,水浒传（全二册）, ,8.6,66163,替天行道,[明] 施耐庵   人民文学出版社   1997-1   50.60元,施耐庵,古典文学 四大名著 水浒传 小说 古典名著 经典 中国 名著
https://book.douban.com/subject/3578470/,https://img9.doubanio.com/view/subject/s/public/s3979854.jpg,德米安,Demian: die geschichte von emil sinclairs jugend,9.0,24515,少年辛克莱寻找通向自身之路的艰辛历程,[德] 赫尔曼·黑塞   丁君君   上海人民出版社   2009-3   25.00元,赫尔曼·黑塞,赫尔曼·黑塞 黑塞 成长 小说 德国文学 自我 德国 哲学
https://book.douban.com/subject/3136271/,https://img1.doubanio.com/view/subject/s/public/s3435158.jpg,罗生门,羅生門,8.7,58497,人生，远比地狱更像地狱,[日] 芥川龙之介   林少华   上海译文出版社   2008-7   12.00元,芥川龙之介,芥川龙之介 日本文学 日本 罗生门 人性 短篇小说 小说 短篇
https://book.douban.com/subject/2136140/,https://img1.doubanio.com/view/subject/s/public/s2563279.jpg,雨季不再来, ,8.7,47993,三毛少女时代的成长感受,三毛   北京十月文艺出版社   2007-7   28.00元,三毛,三毛 雨季不再来 散文 成长 随笔 青春 台湾 中国文学
https://book.douban.com/subject/1088711/,https://img9.doubanio.com/view/subject/s/public/s24964086.jpg,霸王别姬, ,9.1,18079,人间，只是抹去了脂粉的脸,李碧华   人民文学出版社   1999-1   10.20元,李碧华,李碧华 霸王别姬 小说 中国文学 香港 爱情 文学 经典
https://book.douban.com/subject/1858568/,https://img9.doubanio.com/view/subject/s/public/s1790246.jpg,罪与罚,Преступление и наказание,9.2,22176,描绘人内心的全部深度,[俄] 陀思妥耶夫斯基   岳麟   上海译文出版社   2006-8   23.00元,陀思妥耶夫斯基,陀思妥耶夫斯基 俄罗斯文学 罪与罚 小说 俄罗斯 外国文学 经典 文学
https://book.douban.com/subject/1056315/,https://img9.doubanio.com/view/subject/s/public/s2170316.jpg,总统是靠不住的,近距离看美国之二 ,8.8,19095,美国政治法律制度的基本原理和操作细节,林达   生活·读书·新知三联书店   2004-08   21.80,林达,美国 林达 政治 民主 文化 历史 社会 随笔
https://book.douban.com/subject/1963912/,https://img2.doubanio.com/view/subject/s/public/s1993421.jpg,正见,Almost Buddhist/近乎佛教徒,8.8,16063,佛陀的证悟,宗萨蒋扬钦哲仁波切   姚仁喜   中国友谊出版公司   2007-1   25.00元,宗萨蒋扬钦哲仁波切,佛学 宗萨蒋扬钦哲仁波切 宗教 哲学 佛教 正见 思想 佛法
https://book.douban.com/subject/3633461/,https://img1.doubanio.com/view/subject/s/public/s6916838.jpg,一句顶一万句, ,8.7,49554,一句胜过千年,刘震云   长江文艺出版社   2009-3   29.80,刘震云,刘震云 小说 一句顶一万句 当代文学 中国文学 茅盾文学奖 中国当代小说 人生
https://book.douban.com/subject/3646172/,https://img9.doubanio.com/view/subject/s/public/s3814606.jpg,恶意,悪意,8.5,222369,将手记体叙事的无限可能发挥得淋漓尽致,[日] 东野圭吾   娄美莲   南海出版公司   2009-6   18.00,东野圭吾,东野圭吾 推理 日本 悬疑 推理小说 人性 東野圭吾 小说
https://book.douban.com/subject/1035848/,https://img1.doubanio.com/view/subject/s/public/s1070937.jpg,一千零一夜,The Arabian Nights: Tales of 1001 Nights,8.7,51615,阿拉伯地区的古代民间传说,纳训   人民文学出版社   2003-01   22.00,纳训,童话 一千零一夜 外国文学 经典 神话 外国名著 名著 儿童文学
https://book.douban.com/subject/3054821/,https://img1.doubanio.com/view/subject/s/public/s3099438.jpg,渴望生活,Lust for Life,9.2,10472,梵高悲惨而成就辉煌的人生,[美] 欧文·斯通   常涛   北京十月文艺出版社   2008-4   29.80元,欧文·斯通,传记 梵高 渴望生活——梵高传 人物传记 艺术 外国文学 欧文·斯通
https://book.douban.com/subject/1033825/,https://img2.doubanio.com/view/subject/s/public/s1024472.jpg,顾城的诗, ,8.8,22309,火焰是我们诗歌唯一的读者,顾城   人民文学出版社   1998-12   20.00,顾城,顾城 诗歌 顾城的诗 中国文学 诗 诗集 文学 中国
https://book.douban.com/subject/4187411/,https://img9.doubanio.com/view/subject/s/public/s4093514.jpg,万物有灵且美,All Things Bright and Beautiful,8.8,20453,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,[英] 吉米·哈利   种衍伦   中国城市出版社   2010-1   28.80,吉米·哈利,吉米·哈利 动物 万物有灵且美 外国文学 英国 动物与人 英国文学 小说
https://book.douban.com/subject/1036613/,https://img3.doubanio.com/view/subject/s/public/s33516550.jpg,茶馆, ,9.0,21784,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,老舍   人民文学出版社   2002-1   9.80元,老舍,老舍 戏剧 中国文学 话剧 经典 茶馆 中国 现代文学
https://book.douban.com/subject/1085883/,https://img2.doubanio.com/view/subject/s/public/s1072541.jpg,青铜时代,时代三部曲 ,8.7,23518,唐人传奇贯注现代情趣,王小波   花城出版社   1997-5   29.00元,王小波,王小波 青铜时代 小说 中国文学 文学 经典 当代 中国
https://book.douban.com/subject/24754316/,https://img9.doubanio.com/view/subject/s/public/s26720726.jpg,最好的我们,流水混账,8.7,64509,耿耿余淮,八月长安   湖南文艺出版社   2013-8-5   55,八月长安,八月长安 青春 最好的我们 成长 校园 献给青春 小说 献给青春。
https://book.douban.com/subject/1941558/,https://img2.doubanio.com/view/subject/s/public/s2165932.jpg,设计中的设计,DESIGNING DESIGN,8.6,32056,日常生活的无限可能性,[日] 原研哉   朱锷   山东人民出版社   2006-11   48.00元,原研哉,设计 原研哉 日本 设计中的设计 艺术 设计与文化 设计理论 Design
https://book.douban.com/subject/1004821/,https://img9.doubanio.com/view/subject/s/public/s1068535.jpg,理想国,Πολιτεία,8.8,28241,人类历史上最早的乌托邦,[古希腊] 柏拉图   郭斌和   商务印书馆   1986-8   28.00元,柏拉图,哲学 柏拉图 理想国 西方哲学 古希腊 经典 政治哲学 政治学
https://book.douban.com/subject/1013416/,https://img1.doubanio.com/view/subject/s/public/s23579217.jpg,雷雨, ,8.6,69049,一幕人生大悲剧，在一个雷雨夜爆发,曹禺   人民文学出版社   1999-05   9.20,曹禺,曹禺 戏剧 中国文学 话剧 雷雨 经典 文学 中国
https://book.douban.com/subject/4881850/,https://img3.doubanio.com/view/subject/s/public/s6185540.jpg,阿勒泰的角落, ,9.1,15590,白雪和阳光，青草和白桦林,李娟   万卷出版公司   2010-6   25.00元,李娟,李娟 散文 新疆 阿勒泰 随笔 生活 中国文学 旅行
https://book.douban.com/subject/2326403/,https://img2.doubanio.com/view/subject/s/public/s28274132.jpg,认识电影,,8.9,16293,电影入门经典之作,[美] 路易斯·贾内梯   焦雄屏   世界图书出版公司   2007-11   68.00元,路易斯·贾内梯,电影 电影理论 认识电影（插图第11版） 电影分析 艺术 认识电影 经典 焦雄屏
https://book.douban.com/subject/6397275/,https://img2.doubanio.com/view/subject/s/public/s6343233.jpg,此生未完成,一个母亲、妻子、女儿的生命日记 ,8.9,19665,一个母亲、妻子、女儿的生命日记,于娟   湖南科技出版社   2011-5   26.00元,于娟,生命 于娟 随笔 日记 人生 为了爱 传记 中国文学
https://book.douban.com/subject/20428302/,https://img1.doubanio.com/view/subject/s/public/s27217828.jpg,失明症漫记,Ensaio sobre a Cegueira,9.1,19047,失明症迅速蔓延，整个城市陷入一场空前的灾难,[葡] 若泽·萨拉马戈   范维信   南海出版公司   2014-2   29.50,若泽·萨拉马戈,人性 小说 诺贝尔文学奖 若泽·萨拉马戈 萨拉马戈 外国文学 葡萄牙文学 葡萄牙
https://book.douban.com/subject/6021440/,https://img9.doubanio.com/view/subject/s/public/s4669554.jpg,黑客与画家,Hackers and Painters: Big Ideas from the Computer Age,8.7,20902,硅谷创业之父Paul Graham文集,[美] Paul Graham   阮一峰   人民邮电出版社   2011-4   49.00元,Paul Graham,计算机 互联网 黑客 创业 编程 思维 软件开发 阮一峰
https://book.douban.com/subject/1859140/,https://img9.doubanio.com/view/subject/s/public/s1950424.jpg,上学记, ,8.9,13151,20世纪中国知识分子的心灵史,何兆武 口述   生活·读书·新知三联书店   2006-8   19.80元,何兆武,回忆录 何兆武 西南联大 上学记 历史 传记 随笔 人生
https://book.douban.com/subject/24382569/,https://img1.doubanio.com/view/subject/s/public/s26546959.jpg,一桩事先张扬的凶杀案,Crónica de una muerte anunciada,8.7,32345,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,[哥伦比亚] 加西亚·马尔克斯   魏然   南海出版公司   2013-6   25.00元,加西亚·马尔克斯,加西亚·马尔克斯 小说 拉美文学 马尔克斯 外国文学 魔幻现实主义 推理 哥伦比亚
https://book.douban.com/subject/2159042/,https://img1.doubanio.com/view/subject/s/public/s27312538.jpg,挪威的森林,ノルウェイの森,8.5,117535,像喜欢春天的熊一样,[日] 村上春树   林少华   上海译文出版社   2007-7   23.00元,村上春树,村上春树 日本文学 挪威的森林 日本 青春 小说 爱情 孤独
https://book.douban.com/subject/1675478/,https://img2.doubanio.com/view/subject/s/public/s1681072.jpg,天朝的崩溃,鸦片战争再研究 ,9.1,12766,鸦片战争再研究,茅海建   生活·读书·新知三联书店   2005-7   32.00元,茅海建,历史 鸦片战争 中国近代史 近代史 茅海建 中国历史 天朝的崩溃 晚清
https://book.douban.com/subject/1004992/,https://img9.doubanio.com/view/subject/s/public/s1662165.jpg,张爱玲文集, ,8.9,14361, ,张爱玲   安徽文艺出版社   1992年   45元,张爱玲,张爱玲 张爱玲文集 小说 中国文学 经典 文学 现代文学 散文
https://book.douban.com/subject/4842446/,https://img1.doubanio.com/view/subject/s/public/s4494379.jpg,巨流河, ,8.7,28142,两代人从巨流河到哑口海的故事,齐邦媛   生活·读书·新知三联书店   2010-10   39.00元,齐邦媛,齐邦媛 回忆录 台湾 纪实文学 历史 传记 巨流河 三联书店
https://book.douban.com/subject/3017857/,https://img9.doubanio.com/view/subject/s/public/s2976745.jpg,金锁记, ,8.6,55739,一个小商人家庭出身的女子曹七巧的心灵变迁历程,张爱玲   哈尔滨出版社   2005-6   13.5元,张爱玲,张爱玲 金锁记 小说 中国文学 女性 爱情 经典 張愛玲
https://book.douban.com/subject/1052990/,https://img3.doubanio.com/view/subject/s/public/s2652540.jpg,草房子, ,9.0,35647,男孩桑桑刻骨铭心、终身难忘的六年小学生活,曹文轩   江苏少年儿童出版社   2009-6   18.00元,曹文轩,曹文轩 儿童文学 童年 草房子 成长 小说 中国文学 浪漫主义小说
https://book.douban.com/subject/1064275/,https://img2.doubanio.com/view/subject/s/public/s1050021.jpg,老人与海,The Old Man and the Sea,8.4,173932,正是悲壮赋予生活以意义,海明威   吴劳   上海译文出版社   1999-10   8.20元,海明威,海明威 老人与海 外国文学 经典 励志 小说 名著 美国
https://book.douban.com/subject/1292416/,https://img1.doubanio.com/view/subject/s/public/s1556748.jpg,香水,Das Parfum. Die Geschichte eines Mörders,8.5,37867,每一次谋杀只因迷恋她们身上的味道,[德] 帕·聚斯金德   李清华   上海译文出版社   2005-5   20.00元,帕·聚斯金德,香水 小说 德国 悬疑 外国文学 聚斯金德 谋杀 经典
https://book.douban.com/subject/1786387/,https://img9.doubanio.com/view/subject/s/public/s1657785.jpg,影响力,Influence: The Psychology of Persuasion,8.6,45665,营销防骗指南,[美] 罗伯特·西奥迪尼   陈叙   中国人民大学出版社   2006-5   45.00元,罗伯特·西奥迪尼,心理学 影响力 营销 社会心理 管理 营销心理 心理 商业
https://book.douban.com/subject/1964774/,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg,论语, ,9.1,18304,仁远乎哉？我欲仁，斯仁至矣,中华书局   2006-12   9.80元,中华书局,国学 孔子 论语 哲学 经典 古典文学 思想 中国文学
https://book.douban.com/subject/25836270/,https://img1.doubanio.com/view/subject/s/public/s33797467.jpg,厌女,女ぎらい,9.0,23425, ,(日) 上野千鹤子   王兰   上海三联书店   2015-1   28.00,上野千鹤子,女性主义 女性研究 社会学 女权主义 女性 上野千鹤子 日本 心理学
https://book.douban.com/subject/1253310/,https://img3.doubanio.com/view/subject/s/public/s1201610.jpg,人间草木, ,9.1,23072,我就是要这样香，香得痛痛快快,汪曾祺   江苏文艺出版社   2005-01   20.00元,汪曾祺,汪曾祺 散文 人间草木 散文随笔 随笔 中国文学 闲淡 文学
https://book.douban.com/subject/1102715/,https://img3.doubanio.com/view/subject/s/public/s2516920.jpg,从一到无穷大,One Two Three... Infinity,9.1,12056,科学中的事实和臆测,[美] G. 伽莫夫   暴永宁 译   科学出版社   2002-11   29.00元,G.伽莫夫,科普 数学 科学 自然科学 从一到无穷大 物理 伽莫夫 经典
https://book.douban.com/subject/1291809/,https://img1.doubanio.com/view/subject/s/public/s1801057.jpg,世界尽头与冷酷仙境,世界の終りとハードボイルド・ワンダーランド,8.6,40915,交叉平行蒙太奇,[日] 村上春树   林少华   上海译文出版社   2002-12   23.00元,村上春树,村上春树 世界尽头与冷酷仙境 日本文学 小说 日本 村上春樹 文学 外国文学
https://book.douban.com/subject/1036274/,https://img1.doubanio.com/view/subject/s/public/s1120437.jpg,夏洛的网,Charlotte's Web,8.6,60549,一个蜘蛛和小猪的故事，写给孩子，也写给大人,[美] E.B.怀特   任溶溶   上海译文出版社   2004-5   17.00元,E.B.怀特,童话 夏洛的网 儿童文学 E・B・怀特 外国文学 童心 美国 小说
https://book.douban.com/subject/1083762/,https://img9.doubanio.com/view/subject/s/public/s1134166.jpg,人类的群星闪耀时,Sternstunden der Menschheit: Vierzehn historische Miniaturen,8.7,26612,十四个影响人类文明的瞬间,[奥] 斯蒂芬·茨威格   舒昌善   广西师范大学出版社   2004-8   18.00元,斯蒂芬·茨威格,茨威格 历史 传记 人物传记 外国文学 奥地利 文学 人物
https://book.douban.com/subject/27002046/,https://img9.doubanio.com/view/subject/s/public/s29477615.jpg,美丽新世界,"BRAVE NEW WORLD,  BRAVE NEW WORLD REVISITED",9.1,28866, ,[英] 赫胥黎   陈超   上海译文出版社   2017-6   45.00元,赫胥黎,反乌托邦 奥尔德斯·赫胥黎 社会 赫胥黎 小说 英国文学 外国文学 经典
https://book.douban.com/subject/1021273/,https://img9.doubanio.com/view/subject/s/public/s1069364.jpg,中国哲学简史,A Short History of Chinese Philosophy,8.9,17582,中国哲学入门书,冯友兰   赵复三   新世界出版社   2004-1   38.00元,冯友兰,哲学 冯友兰 中国哲学 中国哲学简史 哲学史 中国 思想 经典
