书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,出版社
https://book.douban.com/subject/30467806/,https://img9.doubanio.com/view/subject/s/public/s30011905.jpg,理查德.D.威科夫操盘术, ,暂无,少于10人,[美] 理查德D.威科夫 / 益智、丛阳、朱丹青 / 上海财经大学出版社 / 2017-9-1 / 39,暂无,理查德D.威科夫,上海财经大学出版社
https://book.douban.com/subject/2182465/,https://img9.doubanio.com/view/subject/s/public/s21280165.jpg,客户的游艇在哪里, ,7.0,347人,施韦德 / 孙健 / 机械工业出版社 / 2007-7 / 25.00元,《客户的游艇在哪里》：有人说，《客户的游艇在哪里》对股市和股民的刻画与今天惊人的一致。有人说，《客户的游艇在哪里》讲的是l929年股市崩盘前后的故事，可以说... ,施韦德,机械工业出版社
https://book.douban.com/subject/2321730/,https://img1.doubanio.com/view/subject/s/public/s3600428.jpg,股神,是川藏银传奇,8.2,26人,中国档案出版社 / 2001-12 / 18.00元,暂无,中国档案出版社,中国档案出版社
https://book.douban.com/subject/26889541/,https://img3.doubanio.com/view/subject/s/public/s29391210.jpg,全身而退,短线大师伯纳德·巴鲁克自传,7.9,56人,伯纳德·巴鲁克 / 柯艾略 / 北京理工大学出版社 / 2016-7-1 / CNY 49.80,本书是短线大师伯纳德?巴鲁克自传。在这本自传中，伯纳德?巴鲁克分享了他的传奇人生经历，调轻松却不乏敏锐思想，涉及隐秘细节却从未偏离重大事件和重大问题，这本自... ,伯纳德·巴鲁克,北京理工大学出版社
https://book.douban.com/subject/1534519/,https://img3.doubanio.com/view/subject/s/public/s34051520.jpg,K线黄金定律(最新版), ,8.7,50人,股乐 / 世界图书出版公司 / 2004-05-01 / 25,编辑推荐：　　作者为了让投资者在一套比较正确和完善的K线看盘方法指引下，养成良好的盘面感觉和操作习惯，并取得理想的收益，在这一年中对内容又进行了修改和增加。... ,股乐,世界图书出版公司
https://book.douban.com/subject/6423888/,https://img2.doubanio.com/view/subject/s/public/s6379263.jpg,马丁·普林格技术分析, ,7.0,24人,[美]马丁•普林格 / 王雪化 / 中国人民大学出版社 / 2011-5-1 / 42.00元,暂无,马丁•普林格,中国人民大学出版社
https://book.douban.com/subject/27057889/,https://img2.doubanio.com/view/subject/s/public/s29463843.jpg,证券投资心理学, ,5.8,80人,[德]安德烈·科斯托拉尼 / 郑磊 / 机械工业出版社 / 2017-6 / 49.00,这不是一本教科书，而是一代投资心理派大师的经验之谈，其中包括了证券市场发展过程中的种种奇闻逸事。在今天，特别是研究行为金融和投资者心理的学者看来，这些观念并... ,安德烈·科斯托拉尼,机械工业出版社
https://book.douban.com/subject/26361182/,https://img9.doubanio.com/view/subject/s/public/s28043386.jpg,自律的交易者, ,8.0,85人,马克·道格拉斯 (Mark Douglas) / 地震出版社 / 2015-2-1 / CNY 36.80,暂无,马克·道格拉斯,地震出版社
https://book.douban.com/subject/26704101/,https://img2.doubanio.com/view/subject/s/public/s28379093.jpg,金股博弈（第4版）, ,暂无,少于10人,弈樊 / 机械工业出版社 / 2015-11 / 39.00,暂无,弈樊,机械工业出版社
https://book.douban.com/subject/10827534/,https://img1.doubanio.com/view/subject/s/public/s11344778.jpg,证券市场基础知识,证券市场基础知识,6.7,360人,中国金融出版社 / 2012-6-1 / 42.00元,暂无,中国金融出版社,中国金融出版社
https://book.douban.com/subject/35106152/,https://img2.doubanio.com/view/subject/s/public/s33694981.jpg,中国顶级私募访谈录（第二辑）, ,7.2,39人,好买基金研究中心 / 上海交通大学出版社 / 2020-5 / 85.00元,本书共选取了市场上10家知名的私募管理人，深入剖析他们优异业绩背后的投资策略和投资思路，客观评价他们的策略的有效性和持续性，同时以原汁原味的对话还原私募基金... ,好买基金研究中心,上海交通大学出版社
https://book.douban.com/subject/27174250/,https://img1.doubanio.com/view/subject/s/public/s29582407.jpg,怎样选择成长股(第3版), ,8.5,37人,菲利普·A·费舍 / 吕可嘉 / 地震出版社 / 2017-5 / 50,暂无,菲利普·A·费舍,地震出版社
https://book.douban.com/subject/30164963/,https://img1.doubanio.com/view/subject/s/public/s29733058.jpg,巴菲特致股东的信（原书第4版）,投资者和公司高管教程,9.0,2058人,劳伦斯 A 坎宁安 / 杨天南 / 机械工业出版社 / 2018-3 / 99.00元,众所周知，巴菲特每年都会亲自执笔给伯克希尔的股东写一封信，迄今已写了52年。每一封致股东信都洋洋洒洒数万言，信中回顾公司业绩、投资策略，还会就许多热点话题表... ,劳伦斯 A 坎宁安,机械工业出版社
https://book.douban.com/subject/1916270/,https://img2.doubanio.com/view/subject/s/public/s1890423.jpg,华尔街的肉,我从股市绞肉机中死里逃生,7.6,479人,安迪·凯斯勒 / 李芳龄 / 上海人民出版社 / 2006-11 / 22.00元,暂无,安迪·凯斯勒,上海人民出版社
