书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签
https://book.douban.com/subject/27080946/,https://img1.doubanio.com/view/subject/s/public/s29486759.jpg,The Little Schemer,递归与函数式的奥妙,9.2,123人,[美] Daniel P. Friedman、[美] Matthias Felleisen / 卢俊祥 / 电子工业出版社 / 2017-7 / 65.00,《The Little Schemer：递归与函数式的奥妙》是一本久负盛名的经典之作，两位作者Daniel P. Friedman、Matthias Fel... ,Daniel P. Friedman&Matthias Felleisen,编程&计算机科学&计算机&函数式编程&Lisp&程序&软件开发
https://book.douban.com/subject/5908727/,https://img1.doubanio.com/view/subject/s/public/s28272918.jpg,More Effective C++（中文版）,35个改善编程与设计的有效方法,9.2,380人,[美] Scott Meyers / 侯捷 / 电子工业出版社 / 2011-1-1 / 59.00元,本书是Scott Meyers大师Effective三部曲之一。继Effective C++之后，Scott Meyers于1996推出这本书。虽然出版年代... ,Scott Meyers,C++&C/C++&编程&计算机&程序设计&经典&侯捷&计算机科学
https://book.douban.com/subject/2000732/,https://img9.doubanio.com/view/subject/s/public/s2171906.jpg,Head First Java（第二版·中文版）, ,8.7,1383人,"Kathy Sierra,Bert Bates 著、杨尊一 编译 张然等 改编 / 杨尊一 / 中国电力出版社 / 2007-2 / 79.00元",《Head First Java》是本完整的面向对象（object-oriented，OO）程序设计和Java的学习指导。此书是根据学习理论所设计的，让你可... ,"Kathy Sierra,Bert Bates 著&杨尊一 编译 张然等 改编",java&编程&Java&HeadFirst&计算机&程序设计&软件开发&入门
https://book.douban.com/subject/34922776/,https://img9.doubanio.com/view/subject/s/public/s33554266.jpg,代码精进之路 从码农到工匠, ,7.4,98人,张建飞 / 人民邮电出版社 / 2020-1-1 / 69,暂无,张建飞,编程&计算机&程序设计&架构&方法论&思维&互联网&计算机科学
https://book.douban.com/subject/26681685/,https://img9.doubanio.com/view/subject/s/public/s28357866.jpg,计算机程序设计艺术・卷1,基本算法（第3版）,9.6,50人,Donald E. Knuth / 李伯民、范明、蒋爱军 / 人民邮电出版社 / 2016-1-1 / 198,《计算机程序设计艺术》系列是公认的计算机科学领域经典之作，深入阐述了程序设计理论，对计算机领域的发展有着极为深远的影响。本书是该系列的第 1 卷，讲解基本算... ,Donald E. Knuth,计算机&计算机科学&计算机程序设计艺术&算法&编程&经典&程序设计
https://book.douban.com/subject/4163938/,https://img2.doubanio.com/view/subject/s/public/s6103451.jpg,软件随想录,程序员部落酋长Joel谈软件,8.7,2369人,Joel Spolsky / 阮一峰 / 人民邮电出版社 / 2009 / 49.00元,本书是一部关于软件技术、人才、创业和企业管理的随想文集，作者以诙谐幽默的笔触将自己在软件行业的亲身感悟娓娓道来，观点新颖独特，内容简洁实用。全书分为36讲，... ,Joel Spolsky,软件开发&软件工程&计算机&编程&程序员&方法论&随笔&软件
https://book.douban.com/subject/26593822/,https://img3.doubanio.com/view/subject/s/public/s28340170.jpg,程序员的数学2,概率统计,8.4,250人,平冈和幸、堀玄 / 陈筱烟 / 人民邮电出版社 / 2015-8-1 / CNY 79.00,本书沿袭《程序员的数学》平易近人的风格，用通俗的语言和具体的图表深入讲解程序员必须掌握的各类概率统计知识，例证丰富，讲解明晰，且提供了大量扩展内容，引导读者... ,平冈和幸&堀玄,数学&计算机&统计学&编程&计算机科学&算法&概率&程序员
https://book.douban.com/subject/34875994/,https://img2.doubanio.com/view/subject/s/public/s33511351.jpg,Software Engineering at Google,Lessons Learned from Programming Over Time,8.6,49人,Titus Winters、Tom Manshreck、Hyrum K. Wright / O'Reilly Media / 2020-3-3 / USD 59.99,The approach to and understanding of software engineering at Google is unlike ... ,Titus Winters&Tom Manshreck&Hyrum K. Wright,软件工程&Google&计算机&计算机科学&Programming&编程&混口饭吃&C/C++
https://book.douban.com/subject/26915433/,https://img2.doubanio.com/view/subject/s/public/s29572743.jpg,第一行代码：Android（第2版）,Android,8.6,499人,郭霖 / 人民邮电出版社 / 2016-12-1 / CNY 79.00,暂无,郭霖,Android&移动开发&编程&android&计算机&Java&入门
https://book.douban.com/subject/3590768/,https://img9.doubanio.com/view/subject/s/public/s3651235.jpg,JavaScript语言精粹, ,9.1,1917人,Douglas Crockford / 赵泽欣、鄢学鹍 / 电子工业出版社 / 2009-4 / 35.00元,本书通过对JavaScript语言的分析，甄别出好的和坏的特性，从而提取出相对这门语言的整体而言具有更好的可靠性、可读性和可维护性的JavaScript的子... ,Douglas Crockford,JavaScript&Web前端开发&编程&web开发&计算机&O&#39;Reilly&前端开发&web
https://book.douban.com/subject/6730363/,https://img3.doubanio.com/view/subject/s/public/s6829960.jpg,人工智能,一种现代的方法,9.3,126人,Stuart J. Russell、Peter Norvig / 清华大学出版社 / 2011-7 / 158.00元,最权威、最经典的人工智能教材，已被全世界100多个国家的1200多所大学用作教材。最新版全面而系统地介绍了人工智能的理论和实践，阐述了人工智能领域的核心内容... ,Stuart J. Russell&Peter Norvig,人工智能&AI&计算机&计算机科学&机器学习&编程&教材&科学
https://book.douban.com/subject/27050630/,https://img2.doubanio.com/view/subject/s/public/s29522722.jpg,Python极客项目编程, ,8.2,47人,Mahesh Venkitachalam / 王海鹏 / 人民邮电出版社 / 2017-5 / 69,暂无,Mahesh Venkitachalam,Python&python&编程&计算机&实践
https://book.douban.com/subject/26870407/,https://img2.doubanio.com/view/subject/s/public/s33909663.jpg,像计算机科学家一样思考Python（第2版）, ,8.7,197人,[美] Allen B. Downey / 赵普明 / 人民邮电出版社 / 2016-7 / 49.00元,本书以培养读者以计算机科学家一样的思维方式来理解Python语言编程。贯穿全书的主体是如何思考、设计、开发的方法，而具体的编程语言，只是提供了一个具体场景方... ,Allen B. Downey,Python&编程&计算机&python&计算机科学&入门&思维
https://book.douban.com/subject/26775661/,https://img1.doubanio.com/view/subject/s/public/s28667378.jpg,Oracle编程艺术：深入理解数据库体系结构（第3版）,深入理解数据库体系结构,9.5,21人,Thomas Kyte、Darl Kuhn / 朱龙春、张宏伟、苗朋、陈刚 / 人民邮电出版社 / 2016-4,本书是一本关于Oracle数据库体系结构的权威图书，涵盖了所有重要的Oracle体系结构特性，包括文件、内存结构和进程、锁和闩、事务、并发和多版本、表和索引... ,Thomas Kyte&Darl Kuhn,Oracle&数据库&计算机&编程&技术&计算机科学
