书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签
https://book.douban.com/subject/4904723/,https://img9.doubanio.com/view/subject/s/public/s27321454.jpg,微积分的历程,从牛顿到勒贝格,9.0,662人,[美] William Dunham / 李伯民、汪军、张怀勇 / 人民邮电出版社 / 2010-8 / 29.00元,“微积分”这一名称最早出现在哪本书中？第一本微积分教科书又是谁人所写？微积分究竟是谁人发明的？著名的洛必达法则居然是伯努利的研究成果？谁被誉为“分析学的化身... ,William Dunham,数学&微积分&科普&数学史&历史&自然科学&科学&图灵新知
https://book.douban.com/subject/34993986/,https://img9.doubanio.com/view/subject/s/public/s33604174.jpg,下一站火星, ,8.5,114人,毛新愿 / 电子工业出版社 / 2020-4 / 78.00元,听上去与我们特别遥远的航天技术，其实就在我们身边：每晚 7 点半准时放送的天气预报，早上出门前空气指数的查询，出行导航地图服务，这些都离不开近地卫星 24 ... ,毛新愿,科普&航天&中国&科学&知乎&2020&编程
https://book.douban.com/subject/19928910/,https://img9.doubanio.com/view/subject/s/public/s20954174.jpg,笑什么笑，我们搞的是科学, ,7.0,887人,马克•亚伯拉罕斯（Marc Abrahams） / 李旭大 / 浙江大学出版社 / 2012-9 / 35.00元,暂无,马克•亚伯拉罕斯,搞笑诺贝尔&科普&科学&果壳&科学松鼠会&消遣&文化&2012
https://book.douban.com/subject/34838387/,https://img9.doubanio.com/view/subject/s/public/s33505304.jpg,理论力学, ,8.6,12人,刘川 / 北京大学出版社 / 2019-9-1,《理论力学》以作者多年在北京大学物理学院讲授理论力学的讲义为基础，修订补充而成。本书内容包括：质点运动学、刚体运动学、质点动力学、质点组动力学、刚体动力学、... ,刘川,物理&力学&物理学&教材&科学&物理學&理论物理
https://book.douban.com/subject/1423236/,https://img2.doubanio.com/view/subject/s/public/s7618082.jpg,科学在行动,怎样在社会中跟随科学家和工程师,8.8,72人,布鲁诺·拉图尔 / 东方出版社 / 2005-7 / 26.00元,本书作者布鲁诺·拉图尔是科学知识社会的领军人物之一、巴黎学派的代表者。在这部著作中，拉图尔试图发现科学实际上是怎样“工作”的。该书以重新理解科学实践以及它与... ,布鲁诺·拉图尔,社会学&科学社会学&人类学&科学哲学&知识社会学&科学&科普
https://book.douban.com/subject/1030054/,https://img9.doubanio.com/view/subject/s/public/s1068756.jpg,水知道答案, ,7.1,9823人,江本胜 / [日]猿渡静子 / 南海出版公司 / 2004-01 / 20.00,如何去观察水的万种风情？如何去观赏水结晶的喜怒哀乐？如何领悟并陶醉在水结晶所蕴含的对生命的感谢和热爱？该书独辟蹊径，从另一个侧面向人们展示了科学研究的魅力，... ,江本胜,水知道答案&日本&科普&摄影&水&科学探索&科学&伪科学
https://book.douban.com/subject/25778094/,https://img2.doubanio.com/view/subject/s/public/s27811412.jpg,灭绝的哺乳动物图鉴, ,9.3,69人,冨田幸光、伊藤丙雄、冈本泰子 / 张颖奇 / 科学出版社 / 2013-7-1 / 369.00,哺乳类动物的定义、哺乳类动物的祖先、新生代哺乳类动物的种类、有袋类、食虫类、灵长类、初期大型草食哺乳类动物、肉食类、鼠类、兔类、海洋哺乳动物、奇蹄类、偶蹄类... ,冨田幸光&伊藤丙雄&冈本泰子,古生物&科普&生物&图鉴&自然&动物&科学&生物学
https://book.douban.com/subject/30316487/,https://img1.doubanio.com/view/subject/s/public/s29860119.jpg,资本论,马克思诞辰200周年纪念版,9.6,1234人,马克思 / 中共中央马克思恩格斯列宁斯大林著作编译局 / 人民出版社 / 2018-5 / 240.00,2018年5月5日，是卡尔·马克思诞辰200周年。为了纪念这位伟大革命导师，推动新时代下马克思主义经典作家及其重要文献研究、推动马克思主义中国化时代化大众化... ,马克思,资本论&马克思主义&马克思&经济学&哲学&社会学
https://book.douban.com/subject/1059154/,https://img2.doubanio.com/view/subject/s/public/s1045332.jpg,牛顿传, ,8.5,31人,(英)理查德.韦斯特福尔 (Richard S.Westfall) / 郭先林/等 / 中国对外翻译出版公司 / 1999-07 / 17.20,暂无,理查德.韦斯特福尔,传记&牛顿&传记·回忆录&科普&科学家&科学&科学史&科学人文
https://book.douban.com/subject/26943161/,https://img2.doubanio.com/view/subject/s/public/s29287103.jpg,未来简史, ,8.4,48690人,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2 / 68.00元,进入21世纪后，曾经长期威胁人类生存、发展的瘟疫、饥荒和战争已经被攻克，智人面临着新的待办议题：永生不老、幸福快乐和成为具有“神性”的人类。在解决这些新问题... ,尤瓦尔·赫拉利,未来&社会学&尤瓦尔·赫拉利&人类史&人类学&思维&科普&历史
https://book.douban.com/subject/4216941/,https://img3.doubanio.com/view/subject/s/public/s4146420.jpg,朗-戴尔药理学, ,9.8,14人,H. P. Rang、M. M. Dale、J. M. Ritter、R. J. Flower / 林志彬 / 北京大学医学出版社 / 2010-1 / 295.00元,《朗-戴尔药理学(第6版)》用浅显易懂的方式展现复杂的药理学知识！涵盖了学习药理学所需掌握的全部知识，阐述方式清晰、易懂。注重在分子水平诠释受体和药物的作用... ,H. P. Rang&M. M. Dale&J. M. Ritter&R. J. Flower,医学&药学&科学
https://book.douban.com/subject/3201174/,https://img1.doubanio.com/view/subject/s/public/s3548248.jpg,从混沌到有序,人与自然的新对话Order Our of Chaos,8.7,108人,（比）普里戈金、（法）斯唐热 / 曾庆宏、沈小峰 / 上海译文出版社 / 1987-8 / 2.95,本书是国际著名科学家、诺贝尔获得者普里戈金教授与斯唐热博士合写的一本关于当代自然科学哲学问题的重要著作。本书作者根据自然科学发展的最新成果，特别是耗散结构等... ,普里戈金&斯唐热,科学哲学&哲学&混沌&复杂系统&系统科学&科学&科普&物理
