书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/34970886/,https://img2.doubanio.com/view/subject/s/public/s33630473.jpg,社会性动物（第12版）, ,8.8,927人,[美] 艾略特·阿伦森、[美] 乔舒亚·阿伦森 / 邢占军、黄立清 / 华东师范大学出版社 / 2020-5-1 / 79.00元,社会影响无处不在。我们是如何受到影响的？为什么我们要接受信息，或者换句话说，信息对我们有什么好处？什么样的社会动机使我们容易受到他人的想法、言论和行为的影响... ,艾略特·阿伦森&乔舒亚·阿伦森
https://book.douban.com/subject/2270925/,https://img1.doubanio.com/view/subject/s/public/s2914838.jpg,病者生存, ,8.5,1508人,沙伦·莫勒姆 / 邵毓敏 / 广西科学技术出版社 / 2007-10 / 19.80元,《病者生存》告诉我们：糖尿病是人类挺过冰河期的秘密武器吗？日光浴真能降低胆固醇吗？母亲在怀孕初期吃垃圾食品，婴儿更容易出现肥胖症吗？这些问题你也许想都不曾想... ,沙伦·莫勒姆
https://book.douban.com/subject/35563817/,https://img9.doubanio.com/view/subject/s/public/s33969435.jpg,Immune,A Journey into the Mysterious System that Keeps You Alive,暂无,少于10人,Philipp Dettmer / Hodder &amp; Stoughton / 2021-9-28,A gorgeously-illustrated deep dive into the immune system that will forever ch... ,Philipp Dettmer
https://book.douban.com/subject/35597619/,https://img1.doubanio.com/view/subject/s/public/s33995557.jpg,爵士乐编年史, ,8.5,34人,[英] 默文·库克 / 吕中一 / 中国画报出版社 / 2021-10 / 198.00元,本书从19世纪爵士的起源讲起，按时间顺序，分阶段、按专题介绍了爵士乐的兴起、发展、传播、兴衰的过程，近距离观察了爵士与古典、流行音乐等其他艺术形式的相互影响... ,默文·库克
https://book.douban.com/subject/35631722/,https://img1.doubanio.com/view/subject/s/public/s34023088.jpg,这个故宫很有趣儿, ,8.5,38人,江上渔者 / 天地出版社 / 2021-10-1 / 68.00元,传说故宫有九千九百九十九间半间房，为什么会有半间房？午门真的是斩首的地方吗？为什么皇帝与后妃不能同居一室？宦官、宫女也要领工资、发奖金吗？紫禁城的建造体现了... ,江上渔者
https://book.douban.com/subject/26653673/,https://img1.doubanio.com/view/subject/s/public/s29402699.jpg,必然, ,8.4,1679人,凯文·凯利 (Kevin Kelly) / 周峰、董理、金阳 / 译言·东西文库／电子工业出版社 / 2016-1 / 58,《必然》的作者凯文·凯利，被称为“硅谷精神之父”和“世界互联网教父”。前两部《失控》和《科技想要什么》在中国出版后，引起巨大反响。书中凯文·凯利对十二种必然... ,凯文·凯利
https://book.douban.com/subject/1062309/,https://img9.doubanio.com/view/subject/s/public/s10310654.jpg,基因组,人种自传23章,8.9,861人,马特·里德利 / 刘菁 / 北京理工大学出版社 / 2003-10 / 26.00元,也许可以说，组成人类基因组的23对染色体的图谱绘制是新世纪最重大的科学发现，它提出的问题与它解答了的问题同样多。这些问题将深刻地影响我们对疾病、寿命和自由意... ,马特·里德利
https://book.douban.com/subject/26785959/,https://img3.doubanio.com/view/subject/s/public/s28688090.jpg,疯狂人类进化史, ,8.1,1736人,史钧 / 重庆出版社 / 2016-6 / 39.80,暂无,史钧
https://book.douban.com/subject/35469835/,https://img1.doubanio.com/view/subject/s/public/s33907527.jpg,狡猾的细胞,癌症的进化故事与治愈之道,7.3,57人,[美] 雅典娜·阿克蒂皮斯 / 李兆栋 / 中信出版社 / 2021-6 / 56,暂无,雅典娜·阿克蒂皮斯
https://book.douban.com/subject/20429677/,https://img2.doubanio.com/view/subject/s/public/s24574862.jpg,大数据时代,生活、工作与思维的大变革,7.5,17358人,[英] 维克托•迈尔•舍恩伯格（Viktor Mayer-Schönberger）、[英]肯尼思·库克耶 / 周涛 / 浙江人民出版社 / 2012-12 / 49.90元,《大数据时代》是国外大数据研究的先河之作，本书作者维克托•迈尔•舍恩伯格被誉为“大数据商业应用第一人”，拥有在哈佛大学、牛津大学、耶鲁大学和新加坡国立大学等... ,维克托•迈尔•舍恩伯格&肯尼思·库克耶
https://book.douban.com/subject/27016304/,https://img9.doubanio.com/view/subject/s/public/s29422025.jpg,迷人的温度,温度计里的人类、地球和宇宙史,8.5,300人,[美] 吉诺•塞格雷 / 高天羽 / 上海译文出版社 / 2017-4 / 58,暂无,吉诺•塞格雷
https://book.douban.com/subject/30391626/,https://img2.doubanio.com/view/subject/s/public/s29973361.jpg,社会学基本概念（第二版）, ,9.3,891人,[英]安东尼·吉登斯、[英]菲利普·萨顿 / 王修晓 / 北京大学出版社 / 2019-1-7 / 50.00元,社会生活变动不居，社会学亦不可停滞不前。今天的社会学，理论视角极为多元，研究议题广泛多样，方法也不拘一格。在这一领域中，最为核心的是基本概念及观点的运用。这... ,安东尼·吉登斯&菲利普·萨顿
https://book.douban.com/subject/35602090/,https://img9.doubanio.com/view/subject/s/public/s34000574.jpg,朱红的记忆,龟仓雄策与昭和时代的设计,7.5,36人,[日]马场真人 / 蔡青雯 / 山西教育出版社 / 2021-9 / 55,暂无,马场真人
https://book.douban.com/subject/26984672/,https://img1.doubanio.com/view/subject/s/public/s29370568.jpg,元素周期表, ,8.5,753人,[意] 普里莫·莱维 / 牟中原 / 人民文学出版社 / 2017-4 / 46.00,《元素周期表》是意大 利作家普里莫·莱维风格最强烈的文集，既有自传因素，又糅合了寓言、想象，甚至历史。作者通过阐释二十一种元素的特性，钩沉了自己在二战前后的... ,普里莫·莱维
https://book.douban.com/subject/34882633/,https://img9.doubanio.com/view/subject/s/public/s33522495.jpg,半小时漫画中国史（番外篇）,中国传统节日,6.6,2176人,陈磊·半小时漫画团队 / 海南出版社 / 2019-11-15 / 39.9,看半小时漫画，传统节日的来历瞬间一清二楚。陈磊（笔名：二混子）领衔的半小时漫画团队，仅通过手绘漫画和段子，就让读者通晓了二十四节气以及九个中国人喜闻乐见的传... ,陈磊·半小时漫画团队
https://book.douban.com/subject/35603933/,https://img1.doubanio.com/view/subject/s/public/s34022928.jpg,水：中国文化的地理密码, ,7.7,14人,[英]菲利普·鲍尔 / 张慧哲 / 重庆出版社 / 2021-10 / 65.00元,暂无,菲利普·鲍尔
https://book.douban.com/subject/35538757/,https://img9.doubanio.com/view/subject/s/public/s33954176.jpg,给孩子的科技史, ,9.5,45人,吴军 / 中信出版集团 / 2021-8 / 69.00元,暂无,吴军
https://book.douban.com/subject/27150794/,https://img2.doubanio.com/view/subject/s/public/s29895561.jpg,如果历史是一群喵,夏商西周篇,8.1,1343人,肥志 / 黑龙江美术出版社 / 2017-9-28 / CNY 49.00,《如果历史是一群喵•夏商西周篇》是肥志酝酿许久打造的系列“如果历史是一群喵”中的首册，该书以诙谐幽默又接地气的方式，通俗地讲述了夏商西周多个时期的历史故事，... ,肥志
https://book.douban.com/subject/26397183/,https://img2.doubanio.com/view/subject/s/public/s33849893.jpg,计算机是怎样跑起来的, ,7.5,714人,[日] 矢泽久雄 / 胡屹 / 人民邮电出版社 / 2015-5 / 39.00元,本书倡导在计算机迅速发展、技术不断革新的今天，回归到计算机的基础知识上。通过探究计算机的本质，提升工程师对计算机的兴趣，在面对复杂的最新技术时，能够迅速掌握... ,矢泽久雄
https://book.douban.com/subject/5432475/,https://img2.doubanio.com/view/subject/s/public/s6263451.jpg,穿越计算机的迷雾, ,9.0,502人,李忠 / 电子工业出版社 / 2011-1 / 36.00元,《穿越计算机的迷雾》从最基本的电学知识开始，带领读者一步一步、从无到有地制造一台能全自动工作的计算机。在这个过程中，读者可以学习到大量有趣的电学、数学和逻辑... ,李忠
https://book.douban.com/subject/35119387/,https://img3.doubanio.com/view/subject/s/public/s33712700.jpg,万物解释者（畅销升级版）,复杂事物的极简说明书,8.2,58人,[美] 兰道尔·门罗 / 孙璐 / 未读·探索家 天津科学技术出版社 / 2020-8 / 128.00元,暂无,兰道尔·门罗
https://book.douban.com/subject/35447376/,https://img3.doubanio.com/view/subject/s/public/s33942660.jpg,美元真相, ,7.8,82人,[美]达尔辛妮·大卫 / 鲁冬旭 / 中信出版集团 / 2021-5,为什么我们比父辈买得起更多衣服，却买不起房子？ 为什么国际油价在跌，汽油价格却不跟着跌？ 为什么奢侈品国外卖那么便宜，到国内却贵那么多？ 为什么俄罗斯人喜欢... ,达尔辛妮·大卫
