作者,URL链接
W.萨默塞特·毛姆,https://book.douban.com/author/4576950/
吴晓波,https://book.douban.com/author/4522071/
保罗·柯艾略,https://book.douban.com/author/4566665/
斯塔夫里阿诺斯,https://book.douban.com/author/453312/
考琳·麦卡洛,https://book.douban.com/author/355947/
豪·路·博尔赫斯,https://book.douban.com/author/4523626/
阿加莎·克里斯蒂,https://book.douban.com/author/4543693/
夏洛蒂·勃朗特,https://book.douban.com/author/4502573/
埃莱娜·费兰特,https://book.douban.com/author/2081294/
贾雷德·戴蒙德,https://book.douban.com/author/1716549/
李娟,https://book.douban.com/author/4520846/
王小波,https://book.douban.com/author/4538422/
阿城,https://book.douban.com/author/122104/
罗伯特·麦基,https://book.douban.com/author/467832/
金庸,https://book.douban.com/author/4508301/
斯蒂芬·茨威格,https://book.douban.com/author/4514004/
戴维·迈尔斯,https://book.douban.com/author/4522339/
三毛,https://book.douban.com/author/4530739/
施耐庵,https://book.douban.com/author/4510277/
赫尔曼·黑塞,https://book.douban.com/author/4572322/
芥川龙之介, 
三毛, 
李碧华, 
陀思妥耶夫斯基, 
林达, 
宗萨蒋扬钦哲仁波切, 
刘震云, 
东野圭吾, 
纳训, 
欧文·斯通, 
顾城, 
吉米·哈利, 
老舍, 
王小波, 
八月长安, 
原研哉, 
柏拉图, 
曹禺, 
李娟, 
路易斯·贾内梯, 
于娟, 
若泽·萨拉马戈, 
Paul Graham, 
何兆武, 
加西亚·马尔克斯, 
村上春树, 
茅海建, 
张爱玲, 
齐邦媛, 
张爱玲, 
曹文轩, 
海明威, 
帕·聚斯金德, 
罗伯特·西奥迪尼, 
中华书局, 
上野千鹤子, 
汪曾祺, 
G.伽莫夫, 
村上春树, 
E.B.怀特, 
斯蒂芬·茨威格, 
赫胥黎, 
冯友兰, 
乙一, 
S·A·阿列克谢耶维奇, 
岛田洋七, 
林达, 
迟子建, 
古龙, 
三岛由纪夫, 
阿利斯泰尔·麦克劳德, 
莎士比亚, 
石黑一雄, 
老舍, 
金宇澄, 
特德·姜, 
安迪·威尔, 
卢梭, 
儒尔·凡尔纳, 
三毛, 
是枝裕和, 
赫尔曼·黑塞, 
艾米莉·勃朗特, 
卡森·麦卡勒斯, 
S.A.阿列克谢耶维奇, 
埃里克·霍弗, 
斯科特·菲茨杰拉德, 
冈岛二人, 
汤显祖, 
理查德·费曼, 
弗里德利希・冯・哈耶克, 
阿来, 
严歌苓, 
凑佳苗, 
古龙, 
罗素, 
岸见一郎, 
尼尔·波兹曼, 
张爱玲, 
肯·福莱特, 
紫金陈, 
彼得·德鲁克, 
高野和明, 
理查德·格里格, 
古龙, 
保罗·卡拉尼什, 
伊塔洛·卡尔维诺, 
刘亮程, 
林达, 
罗宾德拉纳特·泰戈尔, 
桐华, 
